1	M	7
10	M	41
100	F	41
1000	M	31
1001	F	31
1003	F	31
1005	F	41
1010	F	31
1014	M	51
1015	F	41
1016	F	62
1019	F	41
1021	F	41
1022	F	31
1027	F	24
1035	F	24
1038	M	62
1040	F	31
1048	F	41
1049	F	51
1051	M	31
1055	F	41
1057	F	51
1059	M	31
1067	F	41
1068	M	24
1071	F	56
1072	M	41
1073	M	31
1074	F	51
1075	M	31
1077	F	31
1079	F	31
1084	F	7
1085	F	31
1086	F	24
1087	F	31
1088	M	7
1094	M	24
1095	M	62
1096	F	7
1097	F	24
1099	F	31
1104	F	41
1105	F	41
1109	F	24
1112	F	24
1113	F	24
1115	M	31
1117	F	24
1119	F	41
1120	F	24
1121	F	62
1125	M	24
1126	F	62
1128	F	31
113	F	24
1130	F	24
1131	F	62
1133	F	24
1135	F	56
1139	F	31
1145	F	56
1151	F	31
1162	M	41
1164	M	31
1165	F	31
1167	M	56
1170	F	62
1172	M	31
1176	F	62
1180	M	56
1182	F	7
1183	F	41
1185	M	41
1190	F	51
1193	F	31
1194	M	31
1196	M	24
1199	F	56
120	F	31
1202	F	41
1203	M	31
1207	F	56
1215	F	41
1218	F	62
1220	F	7
1223	F	31
1224	F	56
1225	F	51
1227	F	56
1228	F	31
1229	M	31
123	F	41
1230	F	31
1231	F	31
1235	M	31
1239	M	31
124	F	62
1241	F	7
1242	M	41
1243	F	41
1244	F	31
1246	F	24
1252	F	62
1260	F	31
1262	F	31
1264	F	31
1266	F	31
1269	M	62
127	M	51
1272	F	24
1273	F	41
1275	F	56
1278	F	24
1280	F	7
1284	F	51
1285	F	41
1287	M	56
1291	M	41
1293	F	31
1297	F	31
1298	F	41
13	F	51
1301	M	31
1303	F	31
1305	F	51
1306	F	31
1308	F	7
1311	F	24
1315	F	41
1317	F	51
1324	F	41
1325	F	31
1326	M	31
1327	F	7
1328	F	41
133	M	31
1331	F	51
1336	M	56
1340	F	31
1344	M	31
1347	M	24
1352	F	41
1354	M	31
1355	M	51
1356	M	24
1365	M	7
1369	F	31
137	M	51
1371	M	56
1374	F	56
1376	M	51
1377	F	41
1381	F	24
1383	M	31
1385	M	31
1387	M	56
1389	F	31
1390	F	41
1392	F	51
1393	F	24
1399	F	24
1400	F	31
1402	F	24
1404	F	56
1406	F	31
1407	M	41
1415	F	51
1420	F	24
1421	M	7
1422	F	41
1424	F	41
1425	F	7
1426	F	24
1427	F	31
